Risk ID,Category,Risk Title,Description,Threat Source,Affected Asset,Likelihood (1-5),Impact (1-5),Risk Score,Risk Rating,Current Controls,Treatment Strategy,Residual Likelihood,Residual Impact,Residual Score,Risk Owner,Review Date,Notes
R-001,Technology,Unpatched Critical Vulnerabilities,Critical CVEs remain unpatched beyond SLA window exposing systems to exploitation,External Threat Actor,Production Servers,4,5,20,Critical,Vulnerability scanner; patch management policy,Mitigate,2,5,10,IT Security Manager,2026-06-01,Patch SLA currently 30 days for critical; recommend reducing to 72 hours
R-002,Compliance,NIST CSF Maturity Gap — Detect Function,Organization lacks formal log monitoring and alerting capabilities mapped to NIST CSF DE.CM,Insider Threat / External,All Information Systems,3,4,12,Medium,Firewall logging; basic SIEM,Mitigate,2,3,6,GRC Analyst,2026-06-01,SIEM tuning project in backlog; priority escalation recommended
R-003,Third-Party,Vendor Access Without Formal Review,Third-party vendors retain persistent system access without periodic access certification,External / Supply Chain,Internal Systems,4,4,16,High,Vendor contracts; basic onboarding,Mitigate,2,4,8,IT Manager,2026-06-01,No formal quarterly access review process; recommend vendor PAM solution
R-004,Operational,Lack of Tested Incident Response Plan,IRP exists but has not been tested via tabletop exercise in over 12 months,Any,Business Operations,3,5,15,High,Written IRP document,Mitigate,2,4,8,CISO,2026-07-01,Schedule tabletop exercise Q3 2026; update escalation contacts
R-005,Compliance,Missing SOC 2 Evidence for CC6.1,Access provisioning controls lack documented evidence for SOC 2 Type II audit readiness,Auditor / Regulator,HR/IT Provisioning Process,3,4,12,Medium,Manual access request emails,Mitigate,2,3,6,HR / IT,2026-06-01,Implement ticketing system for access requests to generate audit trail
R-006,Technology,Weak MFA Enforcement,MFA not enforced for all privileged accounts and remote access sessions,External Threat Actor,Admin Accounts / VPN,4,5,20,Critical,MFA available but not mandatory,Mitigate,1,5,5,IT Security,2026-05-30,Enforce MFA via policy and technical control immediately; zero exceptions
R-007,Strategic,Data Classification Policy Not Implemented,No formal data classification scheme in place; staff unaware of data handling requirements,Insider (Unintentional),All Data Stores,3,4,12,Medium,General data handling guidance in AUP,Mitigate,2,3,6,GRC Analyst,2026-07-01,Draft data classification policy; tag sensitive datasets
R-008,Third-Party,No Vendor Risk Assessment Process,Vendors handling sensitive data not subject to formal security assessments before onboarding,Supply Chain,Customer PII / Financial Data,3,5,15,High,Contractual data protection clauses,Mitigate,2,4,8,Procurement / GRC,2026-07-01,Develop vendor security questionnaire aligned to SIG Lite or CAIQ
R-009,Operational,Employees Not Completing Security Awareness Training,Annual security awareness training completion rate below 80%; phishing simulation scores declining,Insider (Social Engineering),All Business Operations,3,3,9,Medium,Annual CBT training module,Mitigate,2,3,6,HR / GRC,2026-06-15,Mandate completion; add phishing simulation quarterly
R-010,Technology,Excessive Privileged Access (Privilege Creep),User accounts accumulate access rights over time without periodic review or removal,Insider Threat,All Systems,4,4,16,High,Offboarding checklist,Mitigate,2,4,8,IT / GRC,2026-06-01,Implement semi-annual access certification campaign; document results for audit
R-011,Compliance,GDPR Data Subject Request Process Undefined,No documented process for handling data subject access requests (DSARs) within 30-day requirement,Regulatory / Legal,Customer PII,2,5,10,Medium,Privacy policy posted on website,Mitigate,1,5,5,Legal / Compliance,2026-07-01,Draft DSAR procedure; assign responsible owner; log all requests
R-012,Technology,Lack of Endpoint Detection and Response (EDR),Endpoints protected by basic antivirus only; no behavioral detection or threat hunting capability,External Threat Actor,Workstations / Laptops,4,4,16,High,Antivirus (signature-based),Mitigate,2,4,8,IT Security,2026-08-01,Evaluate EDR vendors; prioritize executive and finance endpoints
R-013,Operational,Business Continuity Plan Not Current,BCP last updated 2023; does not reflect current infrastructure or remote work environment,Any,Business Operations,2,5,10,Medium,BCP document (outdated),Mitigate,1,5,5,Operations / GRC,2026-07-01,Conduct BIA; update BCP; test with tabletop exercise
R-014,Compliance,Missing Asset Inventory for NIST CSF ID.AM,No formal inventory of hardware and software assets maintained; impacts ID function maturity,Auditor,All Systems,3,3,9,Medium,Informal spreadsheet,Mitigate,2,2,4,IT,2026-06-15,Deploy asset management tool or formalize existing spreadsheet process
R-015,Third-Party,Cloud Provider SLA Not Reviewed,Cloud hosting SLA not reviewed against business availability requirements; gaps undetected,External / Vendor,Cloud Infrastructure,2,4,8,Medium,Cloud contract in place,Accept / Review,1,4,4,IT Manager / Legal,2026-07-01,Review SLA annually; confirm RTO/RPO alignment with business requirements
