Risk ID,Risk Title,Category,Asset Affected,Threat Description,Vulnerability,Likelihood (1-5),Impact (1-5),Inherent Risk Score,Current Controls,Control Effectiveness,Residual Risk Score,Risk Level,Risk Owner,Recommended Treatment,Target Date,Status
R-001,Ransomware Attack,Cybersecurity,All endpoints and file servers,Threat actor deploys ransomware via phishing email encrypting critical files and demanding payment,Lack of EDR; incomplete email filtering; no network segmentation,4,5,20,Antivirus; email spam filter; offline backups,Low,16,Critical,IT Director,Deploy EDR solution; implement email sandboxing; test backups quarterly; conduct phishing simulation training,Q2 2025,Open
R-002,Phishing / Business Email Compromise,Cybersecurity,Email system; finance department,Attacker impersonates executive or vendor to trick employee into transferring funds or sharing credentials,No MFA enforced; low security awareness; no email authentication (DMARC/DKIM),4,4,16,Security awareness training (annual); spam filters,Low,14,High,CISO,Enforce MFA org-wide; implement DMARC/DKIM/SPF; increase phishing simulation frequency,Q1 2025,In Progress
R-003,Insider Threat - Data Theft,Insider Threat,Customer database; HR records,Malicious or careless employee exfiltrates sensitive data to personal storage or external party,No DLP solution; excessive access permissions; no user activity monitoring,2,5,10,Role-based access control; HR onboarding/offboarding process,Medium,8,High,HR / IT,Implement DLP; conduct access reviews quarterly; enable user activity logging,Q3 2025,Open
R-004,Third-Party Vendor Breach,Third-Party,CRM system; payroll provider,Vendor suffers breach exposing organizational data processed or stored on their systems,No formal vendor risk assessment program; limited contractual security requirements,3,4,12,Vendor contracts with basic security clauses,Low,10,High,Procurement / Legal,Implement vendor risk assessment questionnaire; require SOC 2 reports; add security requirements to contracts,Q2 2025,Open
R-005,Unpatched Critical Vulnerability,Vulnerability Management,Public-facing web servers; internal systems,Attacker exploits known unpatched vulnerability in operating system or application to gain unauthorized access,No formal patch management process; patching is ad hoc,3,4,12,Monthly patching cycle (informal); antivirus,Low,10,High,IT Operations,Implement formal patch management policy with SLAs (critical: 24h; high: 7 days); use vulnerability scanner,Q1 2025,In Progress
R-006,Unauthorized Physical Access,Physical Security,Server room; executive offices,Unauthorized individual gains physical access to systems or confidential materials,Tailgating risk; visitor log not consistently maintained; server room access not badge-controlled,2,4,8,Locked office doors; reception desk sign-in,Medium,6,Medium,Facilities Manager,Install badge access on server room; implement visitor escort policy; install security cameras at entry points,Q3 2025,Open
R-007,Cloud Misconfiguration,Cloud Security,AWS S3 buckets; Azure storage,Misconfigured cloud storage exposes sensitive data publicly due to overly permissive access settings,No cloud security posture management (CSPM); developers have direct production access,3,5,15,Manual configuration reviews (infrequent),Low,12,High,Cloud / DevOps Lead,Deploy CSPM tool (e.g. AWS Config; Defender for Cloud); enforce IaC with security checks; restrict prod access,Q2 2025,Open
R-008,Denial of Service (DDoS),Availability,Public website; customer portal,Attacker floods organization's public-facing services with traffic causing downtime and customer impact,No DDoS protection service; single-region hosting,2,3,6,ISP-level filtering,Low,5,Medium,IT Operations,Evaluate DDoS mitigation service (e.g. Cloudflare); develop availability runbook,Q4 2025,Open
R-009,Loss of Critical Data - No Backup,Business Continuity,File server; database server,Critical business data lost due to hardware failure or accidental deletion with no recoverable backup,Backups not tested; no documented RTO/RPO; single-site backup storage,2,5,10,Daily backup jobs (untested),Low,8,High,IT Director,Test backups monthly; implement offsite/cloud backup; define and document RTO and RPO targets,Q1 2025,In Progress
R-010,Regulatory Non-Compliance (HIPAA),Compliance,Patient data (if applicable),Organization fails to meet HIPAA Security Rule requirements resulting in regulatory fines and reputational harm,No formal HIPAA compliance program; incomplete risk analysis as required by HIPAA,3,5,15,Basic data access controls; BAAs with vendors,Low,12,High,Compliance Officer / Legal,Conduct formal HIPAA risk analysis; develop HIPAA policies; train workforce; document all BAAs,Q2 2025,Open
